metric,state,year,value,unit,source_table,source_title,source_release_date,source_pdf
mean_monthly_wage_rm,Johor,2010,1795.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Johor,2011,1940.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Johor,2012,2035.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Johor,2013,2114.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Johor,2014,2466.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Johor,2015,2549.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Johor,2016,2656.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Johor,2017,2932.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Johor,2018,3228.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Johor,2019,3266.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Johor,2020,2827.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Johor,2021,2850.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Johor,2022,2992.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Johor,2023,3212.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Johor,2024,3414.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Kedah,2010,1501.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Kedah,2011,1555.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Kedah,2012,1543.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Kedah,2013,1759.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Kedah,2014,1972.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Kedah,2015,2024.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
mean_monthly_wage_rm,Kedah,2016,2109.0,RM,A8,Salaries and Wages Survey Report 2024,2025-09-29,salaries_wages_survey_report_2024.pdf
